Month,Dataset,SKU,Actual,Predicted,Iteration
2023-12-01,Train,df_56_comsubs_PR300BOTTLE-B,1,0.58,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-01-01,Train,df_56_comsubs_PR300BOTTLE-B,0,0.18,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-02-01,Train,df_56_comsubs_PR300BOTTLE-B,0,0.02,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-03-01,Train,df_56_comsubs_PR300BOTTLE-B,0,0.03,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-04-01,Train,df_56_comsubs_PR300BOTTLE-B,0,0.04,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-05-01,Train,df_56_comsubs_PR300BOTTLE-B,0,0.11,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-06-01,Train,df_56_comsubs_PR300BOTTLE-B,1,0.69,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-07-01,Train,df_56_comsubs_PR300BOTTLE-B,0,0.27,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-08-01,Train,df_56_comsubs_PR300BOTTLE-B,0,0.14,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-09-01,Test,df_56_comsubs_PR300BOTTLE-B,0,0.14,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-10-01,Test,df_56_comsubs_PR300BOTTLE-B,0,0.14,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-11-01,Test,df_56_comsubs_PR300BOTTLE-B,0,0.19,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2024-12-01,Test,df_56_comsubs_PR300BOTTLE-B,0,0.72,33_comsub_M_NRP2_NSF_NHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-06-01,Test,df_18_comsubs_850243008888,144,128.87,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
2022-07-01,Test,df_18_comsubs_850243008888,145,149.86,34_comsub_M_NRP2_YSF_YHF_NSto_Nhub_NMS_AP2+23+03+30+24+08+30
